customer_id,signup_date,region,age_group,acquisition_channel,contract_length_months
1,2024-03-06,Valencia,45-54,Phone,24
2,2025-07-19,País Vasco,25-34,Referral,36
3,2025-04-23,Madrid,25-34,Web,36
4,2024-11-16,Valencia,55+,Phone,36
5,2024-11-12,Andalucía,35-44,Web,24
6,2025-09-19,País Vasco,18-24,Partner,24
7,2024-03-03,Canarias,45-54,Partner,36
8,2025-05-24,Galicia,35-44,Web,36
9,2024-05-27,Andalucía,55+,In-store,24
10,2024-03-09,Andalucía,45-54,Web,36
11,2025-01-19,Andalucía,18-24,In-store,24
12,2025-12-14,Andalucía,25-34,Web,24
13,2025-06-21,Madrid,25-34,Phone,24
14,2025-07-10,Andalucía,45-54,Web,24
15,2025-06-08,Andalucía,35-44,Partner,24
16,2025-07-28,Valencia,45-54,Web,36
17,2025-01-10,Galicia,35-44,Phone,24
18,2024-04-03,Andalucía,25-34,Web,24
19,2025-09-05,Barcelona,25-34,Web,24
20,2024-11-25,Madrid,25-34,In-store,24
21,2024-12-31,Madrid,35-44,Phone,24
22,2024-09-28,Barcelona,35-44,Phone,24
23,2024-05-13,Valencia,55+,Partner,24
24,2025-11-08,Madrid,25-34,Phone,36
25,2025-07-25,Madrid,45-54,In-store,36
26,2025-04-15,Barcelona,25-34,Phone,24
27,2024-10-21,País Vasco,45-54,Referral,36
28,2025-08-24,País Vasco,18-24,In-store,36
29,2025-02-02,Barcelona,45-54,Phone,36
30,2024-11-20,Madrid,25-34,Web,36
31,2024-11-25,Madrid,25-34,Partner,36
32,2024-06-15,Madrid,35-44,In-store,36
33,2024-03-08,Barcelona,35-44,Web,36
34,2025-02-09,Madrid,35-44,Web,24
35,2025-10-11,Barcelona,25-34,Web,36
36,2024-02-16,Canarias,55+,In-store,24
37,2025-09-19,Valencia,25-34,Partner,36
38,2025-08-27,Galicia,35-44,Web,24
39,2024-07-21,Madrid,55+,Phone,24
40,2025-04-06,Barcelona,45-54,In-store,24
41,2024-04-30,Canarias,25-34,Referral,24
42,2025-07-08,Barcelona,35-44,Web,24
43,2025-05-27,Andalucía,25-34,Web,24
44,2024-09-16,Canarias,35-44,Web,24
45,2024-02-19,Andalucía,35-44,Partner,24
46,2025-12-10,Barcelona,45-54,Web,24
47,2024-11-21,Andalucía,55+,Web,36
48,2025-10-14,Madrid,25-34,In-store,24
49,2025-05-10,Madrid,25-34,Phone,24
50,2025-07-22,Madrid,35-44,Web,24
51,2025-07-09,Galicia,35-44,Phone,24
52,2024-05-22,Andalucía,35-44,Web,24
53,2024-09-23,Barcelona,45-54,Web,36
54,2024-12-07,Barcelona,35-44,Phone,36
55,2024-12-29,Andalucía,55+,Web,24
56,2024-02-02,Galicia,35-44,Web,36
57,2025-02-03,Barcelona,25-34,In-store,24
58,2024-04-22,Barcelona,25-34,In-store,24
59,2025-06-27,Galicia,35-44,Web,24
60,2025-05-14,Galicia,25-34,Partner,24
61,2025-11-05,Galicia,25-34,Web,24
62,2025-06-28,Barcelona,25-34,In-store,36
63,2024-09-25,Madrid,45-54,In-store,36
64,2025-12-08,Valencia,55+,Partner,24
65,2024-10-27,Barcelona,25-34,Partner,24
66,2024-08-26,Galicia,25-34,Web,24
67,2025-10-23,Madrid,35-44,Web,24
68,2024-09-27,Andalucía,25-34,Phone,24
69,2024-02-25,Galicia,55+,Web,36
70,2024-12-09,Canarias,35-44,Partner,36
71,2025-08-04,Andalucía,45-54,Phone,24
72,2024-05-18,Canarias,55+,Web,24
73,2024-12-04,Madrid,45-54,Phone,36
74,2024-04-04,Barcelona,25-34,In-store,36
75,2025-05-16,Madrid,35-44,Phone,24
76,2024-12-13,Canarias,35-44,Phone,24
77,2024-08-29,Galicia,35-44,In-store,36
78,2024-06-14,Madrid,55+,Web,36
79,2025-02-16,Madrid,25-34,Partner,24
80,2025-05-04,Barcelona,35-44,Phone,36
81,2025-11-18,Barcelona,25-34,Web,24
82,2024-11-15,Galicia,25-34,Referral,36
83,2024-04-27,Madrid,35-44,Phone,24
84,2025-08-31,País Vasco,45-54,Web,24
85,2025-04-05,Andalucía,45-54,Web,24
86,2025-05-26,Barcelona,25-34,Referral,24
87,2024-03-12,Madrid,18-24,In-store,24
88,2024-08-16,Canarias,35-44,Web,24
89,2025-07-15,Andalucía,35-44,Phone,24
90,2025-08-31,Valencia,45-54,Web,24
91,2024-11-14,Barcelona,45-54,Partner,36
92,2025-08-11,Galicia,55+,Phone,36
93,2025-09-07,Galicia,45-54,Web,36
94,2024-10-10,País Vasco,35-44,Phone,24
95,2025-10-18,Andalucía,45-54,Referral,24
96,2024-07-29,Galicia,45-54,Web,36
97,2024-06-24,Barcelona,55+,Web,24
98,2025-05-13,Andalucía,35-44,Referral,24
99,2025-04-10,Valencia,45-54,Web,36
100,2024-04-12,Andalucía,35-44,Phone,36
101,2025-08-31,Canarias,45-54,Phone,24
102,2024-05-26,Canarias,55+,Web,36
103,2025-08-11,Valencia,55+,Web,24
104,2024-01-06,Andalucía,25-34,Web,36
105,2025-08-05,Galicia,25-34,Web,24
106,2025-07-29,Canarias,45-54,Phone,24
107,2025-07-24,País Vasco,45-54,In-store,24
108,2025-05-01,Madrid,55+,Web,24
109,2024-12-10,Barcelona,25-34,Partner,36
110,2025-05-30,Galicia,55+,Phone,24
111,2024-07-21,País Vasco,45-54,Web,36
112,2025-07-24,País Vasco,25-34,Phone,36
113,2025-02-10,Andalucía,25-34,Web,24
114,2024-12-01,Valencia,45-54,Partner,36
115,2025-01-04,Valencia,25-34,Web,24
116,2025-02-19,País Vasco,45-54,Partner,24
117,2024-01-28,Barcelona,35-44,Referral,24
118,2024-04-12,Andalucía,35-44,Web,36
119,2024-06-28,País Vasco,25-34,Referral,36
120,2024-03-24,Galicia,55+,Web,36
121,2024-11-17,Barcelona,45-54,Web,36
122,2025-05-03,País Vasco,45-54,Web,36
123,2025-04-23,Madrid,45-54,In-store,24
124,2024-12-10,Madrid,35-44,Partner,36
125,2025-09-17,Valencia,55+,Referral,24
126,2025-02-17,Madrid,35-44,Partner,24
