installation_id,customer_id,scheduled_date,completed_date,installation_delay_days,over_sla_flag,first_time_success_flag
1,1,2024-03-09,2024-03-17,8,True,True
2,2,2025-07-21,2025-07-24,3,False,True
3,3,2025-04-26,2025-04-28,2,False,True
4,4,2024-11-18,2024-11-21,3,False,True
5,5,2024-11-13,2024-11-21,8,True,False
6,6,2025-09-21,2025-09-24,3,False,True
7,7,2024-03-04,2024-03-09,5,False,True
8,8,2025-05-28,2025-06-02,5,False,True
9,9,2024-05-30,2024-05-30,0,False,True
10,10,2024-03-12,2024-03-16,4,False,True
11,11,2025-01-20,2025-01-23,3,False,True
12,12,2025-12-17,2025-12-22,5,False,True
13,13,2025-06-26,2025-07-03,7,False,False
14,14,2025-07-12,2025-07-15,3,False,True
15,15,2025-06-13,2025-06-18,5,False,False
16,16,2025-07-31,2025-08-09,9,True,True
17,17,2025-01-11,2025-01-22,11,True,True
18,18,2024-04-04,2024-04-05,1,False,True
19,19,2025-09-08,2025-09-15,7,False,True
20,20,2024-11-30,2024-12-04,4,False,True
21,21,2025-01-03,2025-01-08,5,False,True
22,22,2024-09-29,2024-10-13,14,True,True
23,23,2024-05-15,2024-05-16,1,False,True
24,24,2025-11-13,2025-11-17,4,False,True
25,25,2025-07-30,2025-08-01,2,False,True
26,26,2025-04-19,2025-04-24,5,False,True
27,27,2024-10-26,2024-10-29,3,False,True
28,28,2025-08-29,2025-08-31,2,False,True
29,29,2025-02-05,2025-02-19,14,True,True
30,30,2024-11-25,2024-11-29,4,False,True
31,31,2024-11-26,2024-11-27,1,False,True
32,32,2024-06-20,2024-06-22,2,False,True
33,33,2024-03-11,2024-03-16,5,False,True
34,34,2025-02-12,2025-02-13,1,False,True
35,35,2025-10-16,2025-10-20,4,False,True
36,36,2024-02-18,2024-02-25,7,False,True
37,37,2025-09-20,2025-09-25,5,False,True
38,38,2025-08-31,2025-09-03,3,False,True
39,39,2024-07-25,2024-07-30,5,False,False
40,40,2025-04-07,2025-04-11,4,False,True
41,41,2024-05-03,2024-05-07,4,False,True
42,42,2025-07-10,2025-07-13,3,False,True
43,43,2025-06-01,2025-06-03,2,False,True
44,44,2024-09-21,2024-09-27,6,False,True
45,45,2024-02-20,2024-02-20,0,False,True
46,46,2025-12-13,2025-12-15,2,False,True
47,47,2024-11-25,2024-11-27,2,False,True
48,48,2025-10-16,2025-10-19,3,False,True
49,49,2025-05-15,2025-05-22,7,False,True
50,50,2025-07-27,2025-08-02,6,False,True
51,51,2025-07-10,2025-07-14,4,False,True
52,52,2024-05-23,2024-05-27,4,False,True
53,53,2024-09-26,2024-10-05,9,True,True
54,54,2024-12-12,2024-12-19,7,False,True
55,55,2025-01-02,2025-01-02,0,False,True
56,56,2024-02-06,2024-02-13,7,False,True
57,57,2025-02-07,2025-02-10,3,False,False
58,58,2024-04-23,2024-04-28,5,False,True
59,59,2025-06-28,2025-07-03,5,False,True
60,60,2025-05-15,2025-05-21,6,False,True
61,61,2025-11-10,2025-11-17,7,False,True
62,62,2025-07-03,2025-07-04,1,False,True
63,63,2024-09-30,2024-10-11,11,True,False
64,64,2025-12-09,2025-12-13,4,False,False
65,65,2024-11-01,2024-11-04,3,False,True
66,66,2024-08-31,2024-09-08,8,True,True
67,67,2025-10-27,2025-11-01,5,False,True
68,68,2024-09-30,2024-10-03,3,False,True
69,69,2024-02-26,2024-03-05,8,True,False
70,70,2024-12-11,2024-12-15,4,False,True
71,71,2025-08-06,2025-08-09,3,False,True
72,72,2024-05-22,2024-05-25,3,False,True
73,73,2024-12-09,2024-12-14,5,False,True
74,74,2024-04-07,2024-04-10,3,False,True
75,75,2025-05-17,2025-05-21,4,False,True
76,76,2024-12-15,2024-12-24,9,True,True
