payment_id,customer_id,payment_date,amount,payment_status
1,1,2024-03-06,40.32,paid
2,1,2024-04-05,40.32,paid
3,1,2024-05-05,40.32,paid
4,1,2024-06-04,40.32,paid
5,1,2024-07-04,40.32,paid
6,1,2024-08-03,40.32,paid
7,1,2024-09-02,40.32,paid
8,1,2024-10-02,40.32,paid
9,1,2024-11-01,40.32,paid
10,1,2024-12-01,40.32,paid
11,1,2024-12-31,40.32,paid
12,1,2025-01-30,40.32,paid
13,1,2025-03-01,40.32,paid
14,1,2025-03-31,40.32,paid
15,1,2025-04-30,40.32,paid
16,1,2025-05-30,40.32,paid
17,1,2025-06-29,40.32,paid
18,1,2025-07-29,40.32,paid
19,1,2025-08-28,40.32,paid
20,1,2025-09-27,40.32,paid
21,1,2025-10-27,40.32,paid
22,1,2025-11-26,40.32,paid
23,1,2025-12-26,40.32,paid
24,2,2025-07-19,44.04,paid
25,2,2025-08-18,44.04,paid
26,2,2025-09-17,44.04,paid
27,2,2025-10-17,44.04,paid
28,2,2025-11-16,44.04,paid
29,2,2025-12-16,44.04,paid
30,3,2025-04-23,39.42,paid
31,3,2025-05-23,39.42,failed
32,3,2025-06-22,39.42,paid
33,3,2025-07-22,39.42,paid
34,3,2025-08-21,39.42,paid
35,3,2025-09-20,39.42,paid
36,3,2025-10-20,39.42,paid
37,3,2025-11-19,39.42,paid
38,3,2025-12-19,39.42,paid
39,4,2024-11-16,44.84,paid
40,4,2024-12-16,44.84,paid
41,4,2025-01-15,44.84,paid
42,4,2025-02-14,44.84,paid
43,4,2025-03-16,44.84,paid
44,4,2025-04-15,44.84,paid
45,4,2025-05-15,44.84,paid
46,4,2025-06-14,44.84,paid
47,4,2025-07-14,44.84,paid
48,4,2025-08-13,44.84,paid
49,4,2025-09-12,44.84,paid
50,4,2025-10-12,44.84,paid
51,4,2025-11-11,44.84,paid
52,4,2025-12-11,44.84,paid
53,5,2024-11-12,35.89,paid
54,5,2024-12-12,35.89,paid
55,5,2025-01-11,35.89,paid
56,5,2025-02-10,35.89,failed
57,5,2025-03-12,35.89,paid
58,5,2025-04-11,35.89,paid
59,5,2025-05-11,35.89,paid
60,5,2025-06-10,35.89,paid
61,5,2025-07-10,35.89,paid
62,5,2025-08-09,35.89,paid
63,5,2025-09-08,35.89,paid
64,5,2025-10-08,35.89,paid
65,5,2025-11-07,35.89,paid
66,5,2025-12-07,35.89,paid
67,6,2025-09-19,46.39,paid
68,6,2025-10-19,46.39,paid
69,7,2024-03-03,39.49,paid
70,7,2024-04-02,39.49,paid
71,7,2024-05-02,39.49,paid
72,7,2024-06-01,39.49,paid
73,7,2024-07-01,39.49,paid
74,7,2024-07-31,39.49,paid
75,7,2024-08-30,39.49,paid
76,7,2024-09-29,39.49,paid
77,7,2024-10-29,39.49,paid
78,7,2024-11-28,39.49,paid
79,7,2024-12-28,39.49,paid
80,7,2025-01-27,39.49,paid
81,7,2025-02-26,39.49,paid
82,7,2025-03-28,39.49,paid
83,7,2025-04-27,39.49,paid
84,7,2025-05-27,39.49,paid
85,7,2025-06-26,39.49,paid
86,7,2025-07-26,39.49,paid
87,7,2025-08-25,39.49,paid
88,7,2025-09-24,39.49,paid
89,7,2025-10-24,39.49,paid
90,7,2025-11-23,39.49,paid
91,7,2025-12-23,39.49,paid
92,8,2025-05-24,44.78,paid
93,8,2025-06-23,44.78,paid
94,8,2025-07-23,44.78,paid
95,8,2025-08-22,44.78,paid
96,8,2025-09-21,44.78,paid
97,8,2025-10-21,44.78,paid
98,8,2025-11-20,44.78,paid
