subscription_id,customer_id,start_date,monthly_fee,status,cancellation_date
1,1,2024-03-06,40.32,active,
2,2,2025-07-19,31.06,active,
3,3,2025-04-23,30.94,active,
4,4,2024-11-16,44.84,active,
5,5,2024-11-12,35.89,active,
6,6,2025-09-19,46.39,cancelled,2025-11-11
7,7,2024-03-03,39.49,active,
8,8,2025-05-24,44.78,active,
9,9,2024-05-27,43.3,active,
10,10,2024-03-09,43.26,active,
11,11,2025-01-19,35.46,active,
12,12,2025-12-14,48.75,active,
13,13,2025-06-21,36.98,active,
14,14,2025-07-10,44.75,active,
15,15,2025-06-08,38.42,active,
16,16,2025-07-28,31.52,active,
17,17,2025-01-10,40.39,active,
18,18,2024-04-03,35.45,active,
19,19,2025-09-05,32.66,active,
20,20,2024-11-25,35.26,active,
21,21,2024-12-31,31.25,active,
22,22,2024-09-28,50.39,active,
23,23,2024-05-13,42.9,active,
24,24,2025-11-08,30.88,active,
25,25,2025-07-25,44.35,active,
26,26,2025-04-15,44.65,active,
27,27,2024-10-21,43.19,active,
28,28,2025-08-24,43.05,active,
29,29,2025-02-02,27.78,cancelled,2025-04-03
30,30,2024-11-20,34.02,cancelled,2025-01-19
31,31,2024-11-25,46.04,active,
32,32,2024-06-15,46.77,active,
33,33,2024-03-08,43.94,active,
34,34,2025-02-09,30.4,cancelled,2025-03-21
35,35,2025-10-11,46.23,active,
36,36,2024-02-16,37.67,cancelled,2024-08-15
37,37,2025-09-19,44.58,active,
38,38,2025-08-27,30.67,active,
39,39,2024-07-21,47.26,active,
40,40,2025-04-06,53.39,cancelled,2025-05-21
41,41,2024-04-30,31.54,active,
42,42,2025-07-08,46.2,active,
43,43,2025-05-27,40.15,active,
44,44,2024-09-16,34.03,active,
45,45,2024-02-19,32.56,active,
46,46,2025-12-10,42.47,active,
47,47,2024-11-21,30.19,active,
48,48,2025-10-14,27.67,active,
49,49,2025-05-10,48.19,active,
50,50,2025-07-22,40.61,cancelled,2025-09-11
51,51,2025-07-09,43.33,active,
52,52,2024-05-22,39.78,active,
53,53,2024-09-23,39.6,active,
54,54,2024-12-07,45.27,active,
55,55,2024-12-29,26.4,active,
56,56,2024-02-02,32.34,active,
57,57,2025-02-03,44.78,active,
58,58,2024-04-22,51.82,active,
59,59,2025-06-27,33.32,active,
60,60,2025-05-14,51.15,active,
61,61,2025-11-05,43.11,active,
62,62,2025-06-28,40.28,active,
63,63,2024-09-25,39.29,cancelled,2025-02-19
64,64,2025-12-08,29.79,active,
65,65,2024-10-27,43.2,cancelled,2024-12-31
66,66,2024-08-26,25.05,cancelled,2024-12-28
67,67,2025-10-23,36.6,active,
68,68,2024-09-27,28.27,active,
69,69,2024-02-25,46.97,active,
70,70,2024-12-09,35.52,cancelled,2025-02-20
71,71,2025-08-04,38.43,active,
72,72,2024-05-18,35.24,active,
73,73,2024-12-04,30.49,active,
74,74,2024-04-04,35.2,active,
75,75,2025-05-16,46.66,active,
76,76,2024-12-13,39.76,active,
77,77,2024-08-29,33.1,active,
78,78,2024-06-14,45.56,cancelled,2024-08-31
79,79,2025-02-16,29.95,active,
80,80,2025-05-04,49.79,active,
81,81,2025-11-18,28.79,active,
82,82,2024-11-15,45.09,active,
83,83,2024-04-27,49.42,active,
84,84,2025-08-31,46.19,cancelled,2025-10-07
85,85,2025-04-05,25.62,active,
86,86,2025-05-26,40.05,active,
87,87,2024-03-12,49.25,active,
88,88,2024-08-16,39.98,active,
89,89,2025-07-15,36.23,active,
90,90,2025-08-31,36.68,active,
91,91,2024-11-14,33.08,cancelled,2025-05-07
92,92,2025-08-11,34.38,active,
93,93,2025-09-07,23.66,active,
94,94,2024-10-10,42.74,active,
95,95,2025-10-18,34.32,active,
96,96,2024-07-29,28.47,active,
97,97,2024-06-24,26.24,active,
98,98,2025-05-13,49.6,active,
99,99,2025-04-10,38.66,active,
100,100,2024-04-12,39.85,active,
101,101,2025-08-31,46.91,active,
102,102,2024-05-26,41.58,active,
103,103,2025-08-11,37.04,active,
104,104,2024-01-06,40.32,cancelled,2024-04-28
105,105,2025-08-05,28.56,active,
106,106,2025-07-29,39.54,active,
107,107,2025-07-24,30.02,cancelled,2025-09-26
108,108,2025-05-01,50.13,active,
109,109,2024-12-10,41.22,active,
110,110,2025-05-30,31.54,active,
111,111,2024-07-21,41.78,active,
112,112,2025-07-24,29.56,active,
