ticket_id,customer_id,created_date,issue_type,resolved_flag,resolution_time_hours
1,2,2025-08-23,False Alarm,True,29.3
2,8,2025-06-16,Sensor Issue,True,32.3
3,8,2025-06-14,Connectivity,True,10.5
4,9,2024-07-09,Connectivity,True,7.4
5,17,2025-03-09,Sensor Issue,True,18.4
6,22,2024-11-07,App/Login,True,11.9
7,22,2024-10-01,False Alarm,True,27.6
8,26,2025-06-11,Installation Follow-up,True,26.4
9,29,2025-02-04,Connectivity,True,22.2
10,32,2024-07-11,False Alarm,False,1.5
11,32,2024-07-06,Connectivity,True,22.9
12,37,2025-11-14,App/Login,True,27.3
13,37,2025-10-04,App/Login,True,9.9
14,38,2025-10-25,Installation Follow-up,True,44.8
15,40,2025-04-22,Sensor Issue,True,19.5
16,40,2025-05-26,Billing,True,1.1
17,40,2025-05-18,Sensor Issue,True,27.3
18,40,2025-05-19,App/Login,True,11.3
19,47,2024-12-09,App/Login,True,5.6
20,55,2025-02-17,Billing,True,16.6
21,57,2025-04-03,False Alarm,True,20.4
22,64,2025-12-20,Installation Follow-up,True,15.7
23,70,2024-12-20,Sensor Issue,True,4.2
24,70,2024-12-14,Billing,True,21.0
25,71,2025-09-28,Sensor Issue,True,19.2
26,73,2025-01-23,False Alarm,True,14.0
27,75,2025-06-23,Connectivity,True,10.8
28,76,2024-12-25,False Alarm,True,7.2
29,78,2024-06-25,False Alarm,True,18.8
30,79,2025-03-17,Installation Follow-up,True,13.2
31,82,2025-01-12,Installation Follow-up,False,15.1
32,83,2024-05-25,App/Login,True,21.9
33,83,2024-05-09,Billing,True,9.7
34,85,2025-04-23,App/Login,True,9.2
35,88,2024-09-22,Sensor Issue,True,13.2
36,100,2024-05-30,App/Login,True,1.0
37,100,2024-06-05,False Alarm,True,17.2
38,102,2024-06-25,False Alarm,True,10.6
39,106,2025-07-31,Billing,True,18.1
40,110,2025-07-22,Installation Follow-up,True,27.8
41,110,2025-07-08,Sensor Issue,True,27.2
42,112,2025-07-28,Connectivity,True,23.1
43,117,2024-03-05,App/Login,True,11.8
44,117,2024-03-08,Billing,True,1.0
45,117,2024-03-13,Sensor Issue,True,22.6
46,118,2024-05-10,App/Login,True,33.2
47,119,2024-07-29,Sensor Issue,True,10.7
48,119,2024-08-01,Installation Follow-up,True,31.7
49,121,2025-01-01,Sensor Issue,True,23.7
50,121,2024-12-02,Sensor Issue,True,18.9
51,125,2025-10-13,Installation Follow-up,True,11.5
52,130,2025-04-15,App/Login,True,12.1
53,131,2025-04-08,App/Login,True,30.9
54,133,2024-04-18,Installation Follow-up,True,38.5
55,134,2025-03-03,False Alarm,True,16.7
56,138,2024-02-24,Installation Follow-up,True,8.6
57,138,2024-02-18,False Alarm,True,31.0
58,142,2024-06-28,Connectivity,True,19.6
59,142,2024-07-22,Installation Follow-up,True,35.7
60,143,2024-09-18,Connectivity,True,22.5
61,145,2026-01-31,Installation Follow-up,True,20.5
62,145,2025-12-26,App/Login,True,35.1
63,145,2026-01-04,Installation Follow-up,True,19.1
64,157,2024-04-22,Sensor Issue,True,22.2
65,157,2024-04-27,App/Login,True,18.8
66,157,2024-05-05,False Alarm,True,9.7
67,165,2024-12-22,False Alarm,True,27.3
68,165,2024-11-29,Sensor Issue,True,15.4
69,165,2024-12-08,Billing,True,28.0
70,165,2024-11-11,Sensor Issue,True,14.5
71,166,2025-09-15,Connectivity,True,8.8
72,171,2024-04-30,Connectivity,False,21.4
73,172,2024-04-15,Sensor Issue,True,10.3
74,176,2024-12-06,App/Login,True,6.4
75,177,2025-06-09,Installation Follow-up,True,22.7
76,180,2025-02-09,False Alarm,True,4.3
77,180,2025-02-02,Installation Follow-up,True,5.5
78,180,2025-02-16,App/Login,True,34.4
79,183,2025-01-23,App/Login,True,37.8
80,191,2025-06-30,Installation Follow-up,True,28.6
81,191,2025-06-24,App/Login,False,14.5
82,192,2025-04-13,Sensor Issue,True,24.2
83,194,2024-10-18,Installation Follow-up,True,13.4
84,198,2024-03-31,Sensor Issue,True,10.3
85,205,2025-01-29,Billing,True,7.4
86,208,2025-12-24,Installation Follow-up,True,12.3
87,208,2026-01-15,Installation Follow-up,True,19.4
88,208,2026-01-07,False Alarm,True,6.0
89,209,2024-07-18,Sensor Issue,True,17.2
