customer_id,region,age_group,acquisition_channel,contract_length_months,install_delay_days,tickets_60d,avg_resolution_time_hours_60d,has_upsell,monthly_fee,is_churned
1,Valencia,45-54,Phone,24,8,0,NULL,0,40.32,0
2,País Vasco,25-34,Referral,36,3,0,NULL,1,31.06,0
3,Madrid,25-34,Web,36,2,0,NULL,1,30.94,0
4,Valencia,55+,Phone,36,3,0,NULL,0,44.84,0
5,Andalucía,35-44,Web,24,8,0,NULL,0,35.89,0
6,País Vasco,18-24,Partner,24,3,0,NULL,0,46.39,1
7,Canarias,45-54,Partner,36,5,0,NULL,0,39.49,0
8,Galicia,35-44,Web,36,5,0,NULL,0,44.78,0
9,Andalucía,55+,In-store,24,0,0,NULL,0,43.3,0
10,Andalucía,45-54,Web,36,4,0,NULL,0,43.26,0
11,Andalucía,18-24,In-store,24,3,0,NULL,0,35.46,0
12,Andalucía,25-34,Web,24,5,0,NULL,0,48.75,0
13,Madrid,25-34,Phone,24,7,0,NULL,0,36.98,0
14,Andalucía,45-54,Web,24,3,0,NULL,1,44.75,0
15,Andalucía,35-44,Partner,24,5,0,NULL,0,38.42,0
16,Valencia,45-54,Web,36,9,0,NULL,0,31.52,0
17,Galicia,35-44,Phone,24,11,0,NULL,1,40.39,0
18,Andalucía,25-34,Web,24,1,0,NULL,1,35.45,0
19,Barcelona,25-34,Web,24,7,0,NULL,0,32.66,0
20,Madrid,25-34,In-store,24,4,0,NULL,0,35.26,0
21,Madrid,35-44,Phone,24,5,0,NULL,0,31.25,0
22,Barcelona,35-44,Phone,24,14,0,NULL,0,50.39,0
23,Valencia,55+,Partner,24,1,0,NULL,0,42.9,0
24,Madrid,25-34,Phone,36,4,0,NULL,0,30.88,0
25,Madrid,45-54,In-store,36,2,0,NULL,0,44.35,0
26,Barcelona,25-34,Phone,24,5,0,NULL,0,44.65,0
27,País Vasco,45-54,Referral,36,3,0,NULL,1,43.19,0
28,País Vasco,18-24,In-store,36,2,0,NULL,0,43.05,0
29,Barcelona,45-54,Phone,36,14,0,NULL,0,27.78,1
30,Madrid,25-34,Web,36,4,0,NULL,0,34.02,1
31,Madrid,25-34,Partner,36,1,0,NULL,0,46.04,0
32,Madrid,35-44,In-store,36,2,0,NULL,1,46.77,0
33,Barcelona,35-44,Web,36,5,0,NULL,1,43.94,0
34,Madrid,35-44,Web,24,1,0,NULL,0,30.4,1
35,Barcelona,25-34,Web,36,4,0,NULL,0,46.23,0
36,Canarias,55+,In-store,24,7,0,NULL,0,37.67,1
37,Valencia,25-34,Partner,36,5,0,NULL,0,44.58,0
38,Galicia,35-44,Web,24,3,0,NULL,0,30.67,0
39,Madrid,55+,Phone,24,5,0,NULL,1,47.26,0
40,Barcelona,45-54,In-store,24,4,0,NULL,0,53.39,1
41,Canarias,25-34,Referral,24,4,0,NULL,0,31.54,0
42,Barcelona,35-44,Web,24,3,0,NULL,0,46.2,0
43,Andalucía,25-34,Web,24,2,0,NULL,0,40.15,0
44,Canarias,35-44,Web,24,6,0,NULL,0,34.03,0
45,Andalucía,35-44,Partner,24,0,0,NULL,0,32.56,0
46,Barcelona,45-54,Web,24,2,0,NULL,0,42.47,0
47,Andalucía,55+,Web,36,2,0,NULL,1,30.19,0
48,Madrid,25-34,In-store,24,3,0,NULL,0,27.67,0
49,Madrid,25-34,Phone,24,7,0,NULL,1,48.19,0
50,Madrid,35-44,Web,24,6,0,NULL,0,40.61,1
51,Galicia,35-44,Phone,24,4,0,NULL,0,43.33,0
52,Andalucía,35-44,Web,24,4,0,NULL,0,39.78,0
53,Barcelona,45-54,Web,36,9,0,NULL,0,39.6,0
54,Barcelona,35-44,Phone,36,7,0,NULL,0,45.27,0
55,Andalucía,55+,Web,24,0,0,NULL,0,26.4,0
56,Galicia,35-44,Web,36,7,0,NULL,0,32.34,0
57,Barcelona,25-34,In-store,24,3,0,NULL,0,44.78,0
58,Barcelona,25-34,In-store,24,5,0,NULL,0,51.82,0
59,Galicia,35-44,Web,24,5,0,NULL,0,33.32,0
60,Galicia,25-34,Partner,24,6,0,NULL,0,51.15,0
