customer_id,signup_date,region,age_group,acquisition_channel,contract_length_months,subscription_id,subscription_start_date,monthly_fee,subscription_status,cancellation_date,is_churned,install_date,install_delay_days,tickets_60d,avg_resolution_time_hours_60d,has_upsell
1,2024-03-06,Valencia,45-54,Phone,24,1,2024-03-06,40.32,active,NULL,0,2024-03-17,8,0,NULL,0
2,2025-07-19,País Vasco,25-34,Referral,36,2,2025-07-19,31.06,active,NULL,0,2025-07-24,3,0,NULL,1
3,2025-04-23,Madrid,25-34,Web,36,3,2025-04-23,30.94,active,NULL,0,2025-04-28,2,0,NULL,1
4,2024-11-16,Valencia,55+,Phone,36,4,2024-11-16,44.84,active,NULL,0,2024-11-21,3,0,NULL,0
5,2024-11-12,Andalucía,35-44,Web,24,5,2024-11-12,35.89,active,NULL,0,2024-11-21,8,0,NULL,0
6,2025-09-19,País Vasco,18-24,Partner,24,6,2025-09-19,46.39,cancelled,2025-11-11,1,2025-09-24,3,0,NULL,0
7,2024-03-03,Canarias,45-54,Partner,36,7,2024-03-03,39.49,active,NULL,0,2024-03-09,5,0,NULL,0
8,2025-05-24,Galicia,35-44,Web,36,8,2025-05-24,44.78,active,NULL,0,2025-06-02,5,0,NULL,0
9,2024-05-27,Andalucía,55+,In-store,24,9,2024-05-27,43.3,active,NULL,0,2024-05-30,0,0,NULL,0
10,2024-03-09,Andalucía,45-54,Web,36,10,2024-03-09,43.26,active,NULL,0,2024-03-16,4,0,NULL,0
11,2025-01-19,Andalucía,18-24,In-store,24,11,2025-01-19,35.46,active,NULL,0,2025-01-23,3,0,NULL,0
12,2025-12-14,Andalucía,25-34,Web,24,12,2025-12-14,48.75,active,NULL,0,2025-12-22,5,0,NULL,0
13,2025-06-21,Madrid,25-34,Phone,24,13,2025-06-21,36.98,active,NULL,0,2025-07-03,7,0,NULL,0
14,2025-07-10,Andalucía,45-54,Web,24,14,2025-07-10,44.75,active,NULL,0,2025-07-15,3,0,NULL,1
15,2025-06-08,Andalucía,35-44,Partner,24,15,2025-06-08,38.42,active,NULL,0,2025-06-18,5,0,NULL,0
16,2025-07-28,Valencia,45-54,Web,36,16,2025-07-28,31.52,active,NULL,0,2025-08-09,9,0,NULL,0
17,2025-01-10,Galicia,35-44,Phone,24,17,2025-01-10,40.39,active,NULL,0,2025-01-22,11,0,NULL,1
18,2024-04-03,Andalucía,25-34,Web,24,18,2024-04-03,35.45,active,NULL,0,2024-04-05,1,0,NULL,1
19,2025-09-05,Barcelona,25-34,Web,24,19,2025-09-05,32.66,active,NULL,0,2025-09-15,7,0,NULL,0
20,2024-11-25,Madrid,25-34,In-store,24,20,2024-11-25,35.26,active,NULL,0,2024-12-04,4,0,NULL,0
21,2024-12-31,Madrid,35-44,Phone,24,21,2024-12-31,31.25,active,NULL,0,2025-01-08,5,0,NULL,0
22,2024-09-28,Barcelona,35-44,Phone,24,22,2024-09-28,50.39,active,NULL,0,2024-10-13,14,0,NULL,0
23,2024-05-13,Valencia,55+,Partner,24,23,2024-05-13,42.9,active,NULL,0,2024-05-16,1,0,NULL,0
24,2025-11-08,Madrid,25-34,Phone,36,24,2025-11-08,30.88,active,NULL,0,2025-11-17,4,0,NULL,0
25,2025-07-25,Madrid,45-54,In-store,36,25,2025-07-25,44.35,active,NULL,0,2025-08-01,2,0,NULL,0
26,2025-04-15,Barcelona,25-34,Phone,24,26,2025-04-15,44.65,active,NULL,0,2025-04-24,5,0,NULL,0
27,2024-10-21,País Vasco,45-54,Referral,36,27,2024-10-21,43.19,active,NULL,0,2024-10-29,3,0,NULL,1
28,2025-08-24,País Vasco,18-24,In-store,36,28,2025-08-24,43.05,active,NULL,0,2025-08-31,2,0,NULL,0
29,2025-02-02,Barcelona,45-54,Phone,36,29,2025-02-02,27.78,cancelled,2025-04-03,1,2025-02-19,14,0,NULL,0
30,2024-11-20,Madrid,25-34,Web,36,30,2024-11-20,34.02,cancelled,2025-01-19,1,2024-11-29,4,0,NULL,0
31,2024-11-25,Madrid,25-34,Partner,36,31,2024-11-25,46.04,active,NULL,0,2024-11-27,1,0,NULL,0
32,2024-06-15,Madrid,35-44,In-store,36,32,2024-06-15,46.77,active,NULL,0,2024-06-22,2,0,NULL,1
33,2024-03-08,Barcelona,35-44,Web,36,33,2024-03-08,43.94,active,NULL,0,2024-03-16,5,0,NULL,1
34,2025-02-09,Madrid,35-44,Web,24,34,2025-02-09,30.4,cancelled,2025-03-21,1,2025-02-13,1,0,NULL,0
35,2025-10-11,Barcelona,25-34,Web,36,35,2025-10-11,46.23,active,NULL,0,2025-10-20,4,0,NULL,0
36,2024-02-16,Canarias,55+,In-store,24,36,2024-02-16,37.67,cancelled,2024-08-15,1,2024-02-25,7,0,NULL,0
37,2025-09-19,Valencia,25-34,Partner,36,37,2025-09-19,44.58,active,NULL,0,2025-09-25,5,0,NULL,0
38,2025-08-27,Galicia,35-44,Web,24,38,2025-08-27,30.67,active,NULL,0,2025-09-03,3,0,NULL,0
39,2024-07-21,Madrid,55+,Phone,24,39,2024-07-21,47.26,active,NULL,0,2024-07-30,5,0,NULL,1
40,2025-04-06,Barcelona,45-54,In-store,24,40,2025-04-06,53.39,cancelled,2025-05-21,1,2025-04-11,4,0,NULL,0
41,2024-04-30,Canarias,25-34,Referral,24,41,2024-04-30,31.54,active,NULL,0,2024-05-07,4,0,NULL,0
42,2025-07-08,Barcelona,35-44,Web,24,42,2025-07-08,46.2,active,NULL,0,2025-07-13,3,0,NULL,0
43,2025-05-27,Andalucía,25-34,Web,24,43,2025-05-27,40.15,active,NULL,0,2025-06-03,2,0,NULL,0
44,2024-09-16,Canarias,35-44,Web,24,44,2024-09-16,34.03,active,NULL,0,2024-09-27,6,0,NULL,0
45,2024-02-19,Andalucía,35-44,Partner,24,45,2024-02-19,32.56,active,NULL,0,2024-02-20,0,0,NULL,0
46,2025-12-10,Barcelona,45-54,Web,24,46,2025-12-10,42.47,active,NULL,0,2025-12-15,2,0,NULL,0
47,2024-11-21,Andalucía,55+,Web,36,47,2024-11-21,30.19,active,NULL,0,2024-11-27,2,0,NULL,1
48,2025-10-14,Madrid,25-34,In-store,24,48,2025-10-14,27.67,active,NULL,0,2025-10-19,3,0,NULL,0
